"day","match","clicks","impressions","cost","avgpos","qualityscore","conv"
"2013-10-17","Broad",0,1,0,1,5,0
"2013-11-01","Phrase",0,1,0,2,6,0
"2013-10-21","Broad",0,3,0,2,6,0
"2013-11-11","Broad",1,7,0.89,3.9,5,0
"2013-10-18","Broad",2,22,1.4,2.6,4,0
"2013-11-11","Broad",0,3,0,4,6,0
"2013-11-12","Exact",0,1,0,1,6,0
"2013-11-05","Broad",0,7,0,5.1,6,0
"2013-11-01","Broad",0,2,0,4.5,6,0
"2013-10-24","Exact",0,1,0,7,6,0
"2013-11-06","Broad",0,1,0,1,7,0
"2013-11-04","Broad",1,26,0.86,3,6,0
"2013-10-23","Exact",0,20,0,1.5,6,0
"2013-11-06","Broad",0,50,0,3.8,4,0
"2013-10-31","Phrase",0,5,0,1.8,6,0
"2013-11-08","Broad",0,3,0,3,6,0
"2013-10-24","Exact",0,1,0,1,6,0
"2013-10-25","Phrase",0,3,0,2.3,6,0
"2013-11-09","Exact",0,1,0,1,6,0
"2013-11-05","Broad",2,12,1.52,1.9,10,0
"2013-10-23","Phrase",0,5,0,2.4,7,0
"2013-10-28","Phrase",0,3,0,1.7,5,0
"2013-10-20","Broad",0,2,0,7.5,6,0
"2013-10-14","Broad",0,13,0,5,7,0
"2013-11-08","Broad",0,6,0,2.2,9,0
"2013-10-29","Broad",3,52,2.38,2.3,4,0
"2013-10-30","Phrase",0,4,0,1.3,7,0
"2013-11-04","Exact",0,2,0,2,6,0
"2013-11-08","Phrase",0,4,0,1,6,0
"2013-10-30","Broad",0,21,0,3.8,6,0
"2013-10-29","Broad",0,1,0,1,6,0
"2013-10-20","Broad",0,2,0,4.5,6,0
"2013-11-10","Phrase",0,1,0,2,5,0
"2013-10-27","Broad",2,14,1.24,5,7,0
"2013-10-14","Broad",0,1,0,5,7,0
"2013-10-20","Phrase",1,2,0.93,3.5,7,0
"2013-10-14","Broad",0,1,0,1,7,0
"2013-11-04","Phrase",0,7,0,1,6,0
"2013-11-10","Broad",0,1,0,2,8,0
"2013-11-05","Broad",1,5,0.38,1.8,6,1
"2013-10-26","Broad",1,1,0.57,3,7,0
"2013-11-10","Phrase",0,14,0,1.8,5,0
"2013-10-23","Phrase",0,2,0,1,7,0
"2013-11-05","Phrase",0,1,0,2,7,0
"2013-11-05","Broad",1,5,1.36,3.2,6,0
"2013-10-21","Broad",0,2,0,4,6,0
"2013-11-09","Phrase",1,1,1.5,1,7,0
"2013-11-12","Broad",1,78,0.92,6.3,6,0
"2013-11-08","Phrase",2,92,1.4,3,4,0
